Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Corr,Amb
22,0.75,13,-,1,230,0.1,0,-,1,0,0
99,0.25,-37,L-skew,6,15,0.01,-3,-,1,0,0
5,1,5,-,1,18,0.4,4,-,1,0,0
97,0.01,-11,-,1,13,0.6,-39,-,1,0,0
124,0.1,-16,-,1,-4,0.9,-20,Symm,7,0,0
24,0.8,-18,-,1,38,0.6,-20,-,1,0,1
24,0.25,23,L-skew,2,48,0.5,11,Symm,7,0,0
55,0.4,5,-,1,52,0.4,-4,-,1,0,0
-10,1,-10,-,1,1,0.9,-39,L-skew,5,0,0
9,1,9,-,1,33,0.4,-20,R-skew,4,0,0
28,0.5,4,L-skew,6,28,0.25,11,-,1,0,1
152,0.1,2,L-skew,7,68,0.4,-4,Symm,5,0,0
5,0.4,-17,-,1,55,0.2,-29,R-skew,7,0,0
26,0.9,-2,Symm,9,51,0.25,17,-,1,0,0
-4,1,-4,-,1,21,0.01,2,Symm,9,0,0
-7,1,-7,-,1,-5,0.4,-8,R-skew,3,0,0
5,0.25,-15,Symm,5,6,0.1,-16,-,1,0,1
4,1,4,-,1,18,0.5,-10,R-skew,3,0,0
36,0.1,12,-,1,58,0.25,9,Symm,9,0,0
62,0.01,10,L-skew,6,49,0.4,-25,R-skew,6,0,0
86,0.01,15,Symm,7,43,0.01,16,-,1,-1,0
33,0.5,-35,-,1,40,0.2,-15,-,1,0,0
1,1,1,-,1,65,0.01,1,L-skew,3,0,0
19,0.6,-31,L-skew,5,51,0.05,3,L-skew,2,0,0
22,0.75,2,-,1,44,0.4,-12,R-skew,7,-1,0
22,0.99,10,R-skew,5,70,0.05,24,-,1,0,0
168,0.25,-16,Symm,9,30,1,30,Symm,3,0,0
60,0.4,-38,-,1,7,0.6,-2,-,1,1,0
58,0.6,-27,Symm,5,84,0.2,18,Symm,5,0,0
11,0.1,8,-,1,33,0.2,-1,-,1,0,1
9,0.5,-5,-,1,65,0.1,-15,-,1,0,0
6,0.8,-18,Symm,3,15,0.6,-30,-,1,0,0
28,0.75,-13,-,1,15,0.4,13,-,1,0,0
59,0.01,20,-,1,53,0.01,27,-,1,0,0
10,1,10,-,1,39,0.5,-12,Symm,5,0,0
3,1,3,-,1,1,0.4,-2,R-skew,6,0,0
70,0.4,-30,-,1,17,0.01,7,-,1,0,0
29,0.5,-3,Symm,3,167,0.05,-3,Symm,7,0,1
19,1,19,-,1,26,0.6,-0,Symm,9,0,0
50,0.2,20,Symm,5,24,0.6,14,Symm,3,0,0
9,1,9,-,1,16,0.4,8,Symm,7,0,0
29,0.01,20,-,1,25,0.95,7,R-skew,7,-1,0
23,0.99,-1,R-skew,5,45,0.25,13,-,1,0,0
7,1,7,-,1,24,0.6,-8,Symm,7,0,0
26,1,26,-,1,35,0.95,-6,Symm,7,0,1
20,1,20,-,1,32,0.5,19,-,1,0,0
35,0.2,24,-,1,42,0.4,14,-,1,0,0
24,0.1,13,-,1,17,0.75,12,R-skew,3,0,0
65,0.05,21,-,1,59,0.4,-2,-,1,1,0
28,1,28,-,1,38,0.5,13,-,1,0,0
-5,1,-5,-,1,-3,0.8,-4,Symm,5,0,0
22,0.05,-12,Symm,7,49,0.1,-8,Symm,3,0,0
32,0.4,-25,-,1,15,0.1,-2,-,1,0,0
15,1,15,-,1,18,0.9,5,-,1,0,0
27,1,27,-,1,42,0.1,32,L-skew,6,0,0
13,1,13,-,1,12,0.05,10,-,1,0,0
28,1,28,R-skew,2,84,0.25,1,L-skew,2,0,0
40,0.4,7,-,1,55,0.25,3,-,1,0,0
-5,1,-5,-,1,6,0.5,1,L-skew,3,0,1
18,0.75,-46,R-skew,3,0,0.99,-3,L-skew,4,1,0
12,0.5,-24,L-skew,4,25,0.01,-3,-,1,0,0
41,0.1,27,-,1,113,0.05,30,-,1,1,0
53,0.25,1,R-skew,6,44,0.4,-14,L-skew,2,0,0
37,0.6,-15,-,1,68,0.25,2,-,1,0,0
22,1,22,-,1,37,0.5,19,R-skew,2,0,0
36,0.01,23,-,1,221,0.2,-23,-,1,0,1
14,1,14,-,1,23,0.01,16,Symm,5,0,0
173,0.2,-32,L-skew,7,30,0.4,2,-,1,0,0
37,0.5,5,-,1,65,0.4,-8,L-skew,4,-1,0
32,0.05,-5,R-skew,4,6,0.8,-12,Symm,9,0,0
80,0.5,-50,-,1,177,0.2,-22,Symm,3,0,0
35,0.4,-32,-,1,-7,0.75,-22,-,1,0,0
14,1,14,-,1,54,0.2,6,L-skew,3,0,0
7,1,7,-,1,23,0.25,11,L-skew,2,0,0
22,1,22,-,1,52,0.25,15,-,1,0,0
-8,0.99,-25,-,1,38,0.1,-21,-,1,-1,1
8,1,8,-,1,31,0.01,1,Symm,5,0,0
49,0.2,3,-,1,11,0.8,9,-,1,-1,1
18,1,18,-,1,67,0.5,-30,Symm,9,0,0
32,0.2,-3,Symm,3,14,0.01,7,Symm,3,0,0
-9,1,-9,-,1,12,0.75,-36,Symm,9,0,0
41,0.4,-24,-,1,18,0.75,-41,Symm,5,0,0
35,0.2,4,L-skew,3,10,1,10,-,1,0,0
25,0.5,15,Symm,5,76,0.05,23,-,1,-1,0
26,1,26,-,1,70,0.2,11,-,1,0,0
29,1,29,-,1,39,0.9,23,Symm,3,0,0
75,0.05,14,L-skew,3,129,0.25,-17,L-skew,2,0,0
20,1,20,-,1,23,0.9,-16,Symm,9,0,0
72,0.1,-18,-,1,79,0.1,-29,-,1,0,0
24,0.8,18,-,1,19,0.95,3,-,1,-1,1
18,0.5,-30,R-skew,2,125,0.05,-15,-,1,0,0
13,1,13,L-skew,2,25,0.25,5,L-skew,6,0,1
35,0.5,21,-,1,57,0.2,35,-,1,0,0
44,0.6,-8,-,1,71,0.4,-8,Symm,7,0,1
107,0.2,-23,Symm,5,142,0.2,-38,-,1,0,0
37,0.5,-33,-,1,21,0.5,-8,-,1,1,0
6,1,6,-,1,20,0.6,-26,-,1,0,0
17,0.1,-3,Symm,3,47,0.25,-10,L-skew,5,0,1
35,0.5,-13,-,1,20,0.6,-4,-,1,0,0
29,1,29,-,1,74,0.1,18,R-skew,2,0,0
28,1,28,-,1,26,0.75,11,L-skew,6,0,0
3,1,3,-,1,35,0.6,-44,Symm,5,0,1
58,0.2,-3,-,1,27,0.25,3,-,1,0,0
28,0.9,10,-,1,50,0.6,-11,Symm,5,-1,0
93,0.2,-2,-,1,209,0.1,-17,L-skew,2,0,1
-8,1,-8,-,1,3,0.2,-14,R-skew,6,0,1
11,1,11,-,1,18,0.01,8,-,1,0,0
-3,0.01,-5,Symm,9,42,0.4,-21,-,1,0,0
22,1,22,-,1,29,0.01,23,R-skew,6,0,1
53,0.05,-13,-,1,30,0.05,-14,-,1,0,0
29,0.6,16,-,1,27,0.99,-28,-,1,1,0
21,1,21,-,1,23,0.8,-29,-,1,0,0
40,0.6,15,Symm,3,31,0.75,27,R-skew,2,0,0
24,0.8,-11,R-skew,5,31,0.6,10,-,1,0,0
16,1,16,-,1,16,1,16,R-skew,7,0,1
16,0.6,6,-,1,23,0.6,1,R-skew,7,-1,0
11,1,11,-,1,29,0.6,-22,L-skew,2,0,0
82,0.25,-38,L-skew,2,4,0.2,-16,R-skew,8,1,0
21,1,21,-,1,30,0.01,13,-,1,0,0
8,0.6,-12,L-skew,2,0,1,0,-,1,0,0
27,0.1,11,-,1,34,0.4,-0,L-skew,5,0,0
0,1,0,-,1,62,0.4,-28,-,1,0,0
20,1,20,-,1,77,0.4,-19,Symm,3,0,0
94,0.4,-18,-,1,38,0.01,34,Symm,7,-1,0
2,1,2,-,1,25,0.6,-37,-,1,0,0
78,0.5,-42,Symm,9,40,0.8,-19,Symm,9,0,1
5,1,5,-,1,100,0.05,10,Symm,7,0,1
-4,1,-4,R-skew,8,22,0.1,-5,-,1,0,0
5,0.2,-1,-,1,18,0.6,-34,Symm,3,0,1
61,0.1,-7,Symm,7,23,0.25,-5,-,1,1,1
9,1,9,-,1,51,0.4,-11,R-skew,3,0,0
35,0.5,-13,-,1,52,0.05,10,Symm,7,1,0
11,1,11,-,1,61,0.5,-21,L-skew,2,0,0
35,0.4,22,-,1,93,0.4,-13,Symm,7,0,0
25,1,25,-,1,29,0.95,15,Symm,9,0,0
5,1,5,-,1,21,0.01,5,L-skew,3,0,0
54,0.5,2,-,1,33,0.9,-28,R-skew,6,0,0
38,0.6,-20,-,1,15,1,15,-,1,0,0
33,0.4,-24,Symm,5,-3,0.75,-4,Symm,3,0,0
20,1,20,-,1,51,0.05,11,-,1,0,0
33,0.6,3,-,1,18,0.25,18,Symm,9,0,1
4,1,4,-,1,18,0.4,-20,Symm,3,0,0
10,1,10,-,1,38,0.6,-27,-,1,0,0
36,0.25,-8,-,1,115,0.25,-29,R-skew,2,0,0
25,0.6,13,Symm,9,23,0.2,15,-,1,0,0
-7,1,-7,-,1,111,0.01,-4,-,1,0,0
-3,1,-3,-,1,114,0.2,-25,Symm,9,0,0
22,1,22,-,1,17,0.95,-5,L-skew,2,0,0
49,0.1,-5,-,1,32,0.5,-23,-,1,0,0
22,1,22,-,1,56,0.4,9,-,1,0,0
29,1,29,-,1,49,0.2,21,-,1,0,1
1,1,1,-,1,9,0.05,-2,Symm,5,0,0
8,1,8,-,1,38,0.1,5,-,1,0,0
-2,0.95,-19,R-skew,6,21,0.5,-38,-,1,0,0
28,1,28,-,1,32,0.95,4,Symm,3,0,0
6,1,6,-,1,67,0.4,-28,Symm,5,0,0
6,0.8,1,Symm,5,33,0.25,-13,-,1,1,1
23,0.4,-24,-,1,61,0.05,-3,R-skew,4,0,0
43,0.2,-17,-,1,28,0.5,-25,-,1,1,0
5,1,5,-,1,14,0.4,-0,-,1,0,0
20,1,20,-,1,52,0.4,1,L-skew,2,0,1
15,0.25,-6,-,1,-1,0.25,-7,Symm,3,0,0
30,1,30,Symm,9,30,1,30,Symm,3,0,1
93,0.4,-17,-,1,35,0.8,7,Symm,5,0,0
27,0.4,-30,-,1,21,0.4,-12,-,1,-1,0
11,1,11,-,1,19,0.1,11,-,1,0,1
2,1,2,-,1,5,0.01,-6,Symm,5,0,0
7,0.75,-37,Symm,5,22,0.5,-30,Symm,5,0,0
6,0.95,-1,R-skew,2,49,0.5,-27,R-skew,3,-1,0
2,1,2,-,1,6,0.01,3,-,1,0,0
17,0.8,9,-,1,28,0.8,-32,-,1,0,0
-2,1,-2,-,1,7,0.75,-16,Symm,5,0,1
26,1,26,-,1,79,0.1,20,L-skew,4,0,0
11,1,11,-,1,118,0.05,8,-,1,0,0
10,1,10,-,1,135,0.1,5,L-skew,2,0,0
13,1,13,-,1,46,0.25,4,-,1,0,0
73,0.1,16,L-skew,7,52,0.25,8,Symm,5,0,0
193,0.1,-7,-,1,16,0.5,10,-,1,0,0
90,0.25,10,-,1,45,0.5,16,-,1,0,0
42,0.1,8,-,1,18,0.8,1,L-skew,5,0,0
9,0.99,5,Symm,3,6,0.75,4,-,1,0,0
23,1,23,-,1,82,0.4,-25,Symm,7,0,0
-9,1,-9,-,1,-11,0.6,-22,-,1,0,1
50,0.5,-20,-,1,44,0.6,-16,Symm,3,-1,0
23,0.4,-9,L-skew,5,18,0.4,-14,-,1,0,0
8,1,8,-,1,-1,0.75,-6,R-skew,8,0,0
2,0.05,-5,-,1,-4,0.99,-29,-,1,0,0
-3,1,-3,-,1,40,0.5,-49,Symm,5,0,0
14,0.2,10,Symm,3,16,0.5,13,-,1,0,0
10,1,10,-,1,81,0.1,15,-,1,0,0
33,0.5,21,L-skew,3,32,0.95,-32,Symm,5,-1,0
22,0.8,17,-,1,31,0.8,-40,Symm,5,0,0
30,0.1,27,Symm,3,44,0.05,32,-,1,0,0
60,0.1,-17,-,1,-13,0.6,-19,Symm,7,0,0
31,0.05,11,-,1,48,0.01,20,-,1,0,1
10,1,10,Symm,5,9,0.4,1,-,1,0,0
47,0.5,-5,-,1,21,1,21,Symm,5,0,0
14,0.75,-17,-,1,27,0.6,-43,Symm,3,0,0
29,1,29,-,1,93,0.6,-42,L-skew,6,0,1
24,1,24,-,1,31,0.6,-1,-,1,0,0
32,0.05,9,R-skew,6,49,0.5,-12,-,1,0,1
96,0.25,-5,-,1,71,0.01,23,-,1,1,0
29,0.4,-13,Symm,7,4,1,4,L-skew,5,0,0
26,0.95,7,-,1,39,0.1,35,-,1,0,0
24,0.9,-7,-,1,21,1,21,-,1,0,0
26,1,26,-,1,67,0.5,-27,R-skew,6,0,0
25,1,25,-,1,57,0.6,-3,-,1,0,0
8,1,8,-,1,75,0.1,3,-,1,0,0
5,1,5,-,1,31,0.25,4,R-skew,5,0,0
8,1,8,-,1,35,0.25,10,R-skew,4,0,0
26,0.2,21,-,1,26,0.8,-21,Symm,7,-1,0
25,0.75,9,-,1,28,0.9,-19,R-skew,5,0,0
32,0.25,23,L-skew,6,175,0.1,13,Symm,9,1,0
32,0.01,16,Symm,7,16,0.5,3,Symm,9,0,1
29,1,29,-,1,30,0.95,-19,-,1,0,0
29,0.1,-7,Symm,3,2,0.01,-6,-,1,0,0
15,1,15,-,1,29,0.4,9,-,1,0,0
50,0.2,-23,L-skew,3,8,0.1,2,Symm,3,0,0
0,1,0,-,1,42,0.01,-0,-,1,0,0
4,0.99,-31,-,1,29,0.25,-3,Symm,5,-1,0
22,1,22,-,1,19,0.99,-7,Symm,5,0,0
25,0.8,2,L-skew,3,43,0.8,-44,-,1,0,0
6,0.75,-22,R-skew,7,27,0.6,-38,-,1,-1,0
0,1,0,-,1,68,0.05,-8,Symm,7,0,1
24,0.5,-28,-,1,48,0.1,-15,Symm,3,0,1
80,0.2,-18,-,1,0,0.75,-13,Symm,9,0,0
81,0.5,-33,L-skew,4,32,0.75,-19,-,1,0,1
86,0.1,24,-,1,64,0.2,19,-,1,0,0
-5,1,-5,-,1,10,0.6,-17,L-skew,6,0,1
27,1,27,-,1,39,0.8,-6,-,1,0,1
23,0.9,3,Symm,5,21,1,21,R-skew,7,0,0
27,1,27,-,1,55,0.05,30,R-skew,4,0,0
63,0.1,-14,-,1,103,0.05,-14,R-skew,3,-1,0
65,0.01,9,-,1,12,0.8,-1,-,1,1,0
-10,1,-10,-,1,1,0.5,-27,-,1,0,0
43,0.4,-44,-,1,-16,0.4,-24,-,1,1,0
7,0.6,-16,Symm,7,28,0.4,-23,Symm,7,0,0
-10,1,-10,-,1,91,0.25,-45,-,1,0,0
-3,1,-3,-,1,15,0.05,-6,-,1,0,1
3,1,3,-,1,5,0.5,2,-,1,0,0
0,1,0,-,1,43,0.1,-4,-,1,0,0
36,0.2,27,L-skew,5,78,0.25,6,Symm,9,0,0
0,1,0,-,1,3,0.75,-28,Symm,5,0,0
26,0.1,-3,-,1,-0,0.75,-2,-,1,0,0
-0,0.2,-6,R-skew,2,-12,0.9,-34,-,1,0,0
21,1,21,-,1,28,0.95,0,-,1,0,0
139,0.1,-1,Symm,3,13,1,13,-,1,0,0
-10,1,-10,-,1,-8,0.05,-9,-,1,0,0
9,1,9,-,1,18,0.1,-1,-,1,0,0
21,1,21,Symm,7,42,0.1,10,-,1,0,0
13,1,13,-,1,26,0.8,-32,L-skew,4,0,1
8,1,8,-,1,86,0.2,-12,R-skew,5,0,0
111,0.1,-9,Symm,9,1,0.05,-3,-,1,0,0
12,0.99,-29,-,1,23,0.9,-19,-,1,0,0
26,1,26,-,1,77,0.4,-5,R-skew,2,0,0
15,1,15,-,1,32,0.8,-22,Symm,3,0,0
56,0.4,-31,-,1,14,0.05,3,-,1,0,0
42,0.2,7,Symm,7,6,0.99,-15,Symm,7,-1,0
29,1,29,-,1,42,0.5,26,-,1,0,1
23,1,23,-,1,19,0.01,17,R-skew,7,0,1
11,0.8,-11,R-skew,6,9,0.4,7,L-skew,3,0,0
-6,0.75,-14,R-skew,7,117,0.2,-39,-,1,0,1
22,0.1,-8,Symm,3,-5,0.25,-16,-,1,0,1
21,0.9,11,-,1,20,1,20,Symm,7,0,0
21,1,21,-,1,18,0.25,17,L-skew,4,0,0
-2,1,-2,-,1,-5,0.1,-9,Symm,9,0,1
30,0.5,-2,-,1,14,1,14,-,1,0,0
3,1,3,-,1,9,0.2,2,-,1,0,0
8,1,8,-,1,70,0.01,17,-,1,0,0
17,1,17,-,1,16,0.99,-10,-,1,0,0
-3,1,-3,-,1,68,0.05,-4,Symm,9,0,1
20,0.25,-3,L-skew,4,18,0.99,-5,-,1,0,0
54,0.6,-31,-,1,28,0.6,6,R-skew,3,0,0
13,0.5,-1,-,1,6,1,6,Symm,3,0,1
11,1,11,-,1,50,0.5,-25,-,1,0,1
11,0.95,-9,-,1,10,0.75,0,-,1,0,0
14,1,14,-,1,25,0.8,10,-,1,0,1
29,0.05,4,-,1,12,0.9,-40,-,1,0,0
24,1,24,-,1,15,0.9,-3,Symm,5,0,0
38,0.6,10,-,1,135,0.2,3,L-skew,7,0,0
16,0.75,-5,-,1,119,0.2,-16,-,1,0,0
15,1,15,-,1,64,0.5,-15,-,1,0,0
-7,0.6,-14,-,1,-8,0.4,-13,-,1,0,0
20,1,20,-,1,89,0.1,15,L-skew,6,0,0
10,0.95,-30,R-skew,3,64,0.01,-1,R-skew,5,1,0
24,1,24,-,1,65,0.2,10,Symm,3,0,0
-4,0.95,-37,-,1,-1,0.5,-23,-,1,0,0
10,1,10,-,1,23,0.6,-4,-,1,0,0
37,0.75,-43,L-skew,4,27,0.05,18,Symm,9,0,0
27,1,27,-,1,33,0.8,21,-,1,0,0
29,1,29,-,1,74,0.2,30,L-skew,6,0,0
1,0.1,-6,-,1,10,0.9,-9,R-skew,6,0,0
2,0.75,-3,-,1,1,1,1,R-skew,2,0,0
61,0.25,-31,Symm,5,1,0.4,-16,-,1,0,0
23,0.75,-41,L-skew,3,16,0.01,4,-,1,0,1
30,0.6,18,-,1,36,0.9,27,L-skew,2,1,1
58,0.25,-7,-,1,47,0.6,-36,-,1,0,0
43,0.6,-27,-,1,32,0.4,8,-,1,1,0
8,0.8,-23,L-skew,2,21,0.2,6,-,1,1,0
-2,1,-2,-,1,8,0.4,-6,R-skew,5,0,0
-1,1,-1,-,1,8,0.4,-22,-,1,0,1
27,0.75,14,-,1,46,0.75,-5,-,1,1,0
30,0.75,-13,-,1,18,0.75,16,Symm,5,1,1
16,1,16,-,1,93,0.2,-11,-,1,0,0
170,0.25,-18,-,1,35,0.8,34,Symm,7,0,0
10,1,10,-,1,23,0.75,8,-,1,0,0
19,0.1,-10,Symm,5,-7,1,-7,R-skew,3,0,0
26,0.4,4,R-skew,3,29,0.5,-11,-,1,-1,0
14,1,14,-,1,19,0.4,5,-,1,0,1
24,0.8,4,-,1,20,1,20,L-skew,3,0,0
36,0.5,20,-,1,97,0.1,19,-,1,1,0
49,0.25,-19,Symm,5,42,0.01,-1,-,1,0,1
84,0.4,-31,-,1,15,1,15,R-skew,6,0,1
29,0.9,1,L-skew,5,27,0.95,-14,-,1,0,0
13,1,13,-,1,15,0.25,6,L-skew,6,0,0
5,1,5,-,1,53,0.25,-18,-,1,0,0
16,1,16,-,1,65,0.01,16,-,1,0,0
30,0.99,-10,-,1,51,0.2,18,-,1,1,0
-5,1,-5,-,1,17,0.6,-50,L-skew,6,0,0
14,1,14,-,1,18,0.99,-8,-,1,0,0
27,0.5,-45,-,1,17,0.2,-27,R-skew,5,1,1
26,0.4,18,-,1,25,0.01,23,R-skew,7,0,0
25,1,25,-,1,29,0.9,-28,L-skew,4,0,0
-1,1,-1,-,1,74,0.25,-33,-,1,0,0
20,0.75,-21,-,1,75,0.4,-48,Symm,9,0,1
82,0.25,-6,Symm,7,132,0.25,-22,Symm,5,0,0
71,0.4,-4,L-skew,3,51,0.1,22,-,1,0,1
27,1,27,-,1,78,0.5,-4,-,1,0,0
3,1,3,Symm,5,18,0.25,-9,L-skew,5,0,0
20,0.8,9,R-skew,3,60,0.01,13,Symm,5,0,0
1,1,1,-,1,4,0.8,-4,R-skew,8,0,0
37,0.5,-19,-,1,115,0.1,-2,R-skew,6,0,0
6,1,6,-,1,55,0.01,6,-,1,0,1
41,0.75,-27,-,1,62,0.05,19,-,1,0,1
10,1,10,-,1,98,0.1,2,Symm,5,0,1
-9,1,-9,-,1,65,0.05,-16,Symm,3,0,1
29,1,29,-,1,42,0.6,8,-,1,0,1
17,0.4,7,-,1,16,0.75,-23,-,1,0,0
-3,0.2,-11,-,1,117,0.01,-4,-,1,-1,0
38,0.25,-23,Symm,9,1,0.5,-20,-,1,-1,1
15,1,15,-,1,17,0.6,8,-,1,0,0
-9,1,-9,-,1,4,0.05,-6,Symm,5,0,1
4,0.95,4,-,1,26,0.01,0,Symm,3,0,0
29,0.1,18,-,1,24,0.4,-0,Symm,3,0,0
12,1,12,-,1,66,0.01,3,Symm,5,0,0
24,1,24,L-skew,3,24,1,24,Symm,3,0,1
19,0.8,-41,-,1,16,0.1,1,R-skew,2,0,0
109,0.25,-12,-,1,37,0.2,23,L-skew,4,0,0
12,0.2,-3,-,1,4,0.25,-14,-,1,0,1
54,0.05,26,-,1,56,0.2,16,Symm,3,1,0
17,0.25,13,L-skew,3,20,0.9,8,-,1,0,0
80,0.4,-20,Symm,5,20,1,20,-,1,0,0
29,1,29,-,1,96,0.4,-16,L-skew,7,0,0
18,1,18,-,1,83,0.1,15,Symm,3,0,0
16,0.75,-23,Symm,9,10,0.25,-0,Symm,5,0,1
17,1,17,-,1,17,0.8,-19,L-skew,6,0,0
74,0.5,-26,-,1,51,0.01,15,-,1,0,1
-6,1,-6,-,1,17,0.5,-20,Symm,7,0,0
44,0.5,16,R-skew,6,50,0.75,-1,Symm,3,0,0
6,0.9,-44,-,1,1,1,1,-,1,0,0
41,0.25,-14,R-skew,6,90,0.25,-25,R-skew,7,0,0
37,0.75,-35,-,1,40,0.75,-35,-,1,0,0
25,0.8,-22,-,1,173,0.05,3,-,1,-1,0
63,0.1,25,-,1,23,0.99,16,-,1,0,1
-3,1,-3,-,1,6,0.9,-23,-,1,0,1
63,0.25,16,-,1,27,0.5,13,-,1,0,0
92,0.1,12,-,1,27,0.1,16,R-skew,2,0,1
29,0.99,3,Symm,9,61,0.01,25,Symm,9,1,0
-3,1,-3,-,1,78,0.1,-19,Symm,7,0,0
93,0.1,23,Symm,7,33,0.9,21,-,1,-1,0
9,0.99,-17,L-skew,3,11,0.1,5,R-skew,6,0,1
7,1,7,-,1,5,0.8,-16,Symm,7,0,1
55,0.25,4,-,1,24,0.25,16,R-skew,2,0,0
37,0.5,-11,-,1,64,0.5,-41,L-skew,4,0,0
49,0.5,5,-,1,71,0.25,19,-,1,0,1
13,0.4,-22,-,1,1,0.5,-14,R-skew,3,0,0
93,0.2,-31,-,1,28,0.05,-3,-,1,0,1
31,0.01,23,-,1,185,0.1,11,R-skew,3,0,0
87,0.01,11,-,1,40,0.6,-34,R-skew,5,0,0
15,1,15,-,1,51,0.25,8,-,1,0,0
16,1,16,-,1,60,0.4,-5,Symm,7,0,0
12,1,12,-,1,8,0.5,-3,-,1,0,0
14,1,14,-,1,16,0.4,10,-,1,0,1
5,0.4,2,L-skew,5,19,0.05,-9,R-skew,3,0,0
50,0.5,-14,L-skew,3,18,0.9,4,-,1,0,0
42,0.4,7,-,1,26,0.5,2,R-skew,5,0,0
7,1,7,-,1,9,0.99,-21,R-skew,8,0,0
6,1,6,-,1,-3,0.25,-7,-,1,0,0
18,0.9,-30,-,1,19,0.01,6,-,1,0,0
4,1,4,-,1,8,0.05,3,Symm,7,0,0
18,0.9,-42,-,1,69,0.25,-1,Symm,7,-1,1
113,0.2,-2,-,1,21,1,21,-,1,0,0
-7,0.95,-34,-,1,1,0.6,-10,R-skew,4,1,0
47,0.2,20,Symm,7,36,0.8,-25,-,1,0,0
93,0.25,-26,-,1,42,0.2,6,-,1,0,1
12,1,12,-,1,11,0.1,5,-,1,0,1
51,0.1,-11,-,1,4,0.6,-4,-,1,0,0
34,0.6,21,Symm,9,85,0.25,6,-,1,0,0
-8,1,-8,-,1,3,0.8,-10,-,1,0,0
28,0.99,-15,-,1,30,0.5,29,Symm,9,0,0
9,1,9,-,1,29,0.8,-41,R-skew,5,0,1
94,0.2,-6,-,1,54,0.1,13,-,1,0,0
37,0.5,-43,L-skew,4,17,0.2,-8,-,1,0,0
11,1,11,-,1,73,0.05,-3,-,1,0,0
16,1,16,-,1,21,0.05,19,L-skew,4,0,0
46,0.2,-9,-,1,-3,0.8,-6,Symm,3,0,0
1,0.2,-11,L-skew,2,6,0.05,-17,R-skew,7,0,0
25,1,25,-,1,23,0.9,5,-,1,0,0
26,0.6,-22,-,1,28,0.5,-7,-,1,0,0
16,1,16,-,1,15,0.95,-20,-,1,0,0
115,0.2,-3,-,1,73,0.25,-1,-,1,0,0
22,1,22,Symm,3,46,0.4,0,-,1,0,0
26,1,26,-,1,50,0.2,14,-,1,0,0
15,0.25,10,-,1,80,0.2,1,-,1,0,0
30,0.99,-11,-,1,30,1,30,-,1,0,0
22,0.6,5,-,1,65,0.1,21,Symm,7,0,0
-7,1,-7,-,1,-5,0.95,-20,Symm,9,0,0
4,1,4,-,1,43,0.4,-8,R-skew,3,0,0
183,0.1,-7,R-skew,2,20,0.95,11,-,1,0,0
-3,1,-3,R-skew,4,4,0.8,-9,Symm,3,0,1
21,1,21,-,1,37,0.4,15,Symm,5,0,0
27,0.8,-38,Symm,3,18,0.75,7,R-skew,7,0,1
26,1,26,-,1,74,0.4,-7,L-skew,6,0,0
31,0.01,-0,Symm,5,2,0.95,-39,Symm,9,0,0
-10,0.99,-24,-,1,-8,0.9,-28,Symm,7,0,1
9,0.5,5,-,1,5,0.05,-0,Symm,3,1,0
18,1,18,-,1,64,0.25,9,-,1,0,0
28,0.01,11,-,1,37,0.2,3,Symm,9,0,0
16,1,16,-,1,196,0.2,-28,-,1,0,0
-4,1,-4,-,1,119,0.25,-34,-,1,0,0
-9,1,-9,-,1,38,0.05,-3,L-skew,4,0,1
75,0.4,-28,-,1,89,0.1,-0,Symm,3,0,1
16,1,16,-,1,24,0.4,3,R-skew,6,0,0
9,1,9,-,1,12,0.99,-18,-,1,0,0
3,0.25,-1,-,1,4,0.99,-3,-,1,0,0
27,1,27,-,1,111,0.25,0,Symm,9,0,0
-3,1,-3,-,1,49,0.01,0,-,1,0,0
-1,0.8,-45,-,1,150,0.05,-24,Symm,3,0,0
-8,1,-8,-,1,18,0.75,-24,-,1,0,0
35,0.4,27,-,1,59,0.05,36,Symm,9,-1,0
-2,0.25,-6,Symm,5,4,0.8,-49,R-skew,5,1,0
0,1,0,-,1,15,0.6,-7,-,1,0,0
23,1,23,-,1,26,0.75,23,R-skew,7,0,0
-1,1,-1,-,1,-0,0.95,-32,Symm,5,0,0
94,0.01,12,-,1,21,0.5,1,-,1,0,1
34,0.5,-16,L-skew,5,9,1,9,Symm,9,0,1
20,1,20,-,1,160,0.01,19,-,1,0,0
73,0.2,19,L-skew,5,40,0.9,37,Symm,3,0,0
15,0.95,-42,L-skew,4,66,0.5,-45,Symm,9,-1,0
19,0.75,16,-,1,50,0.01,9,R-skew,7,0,0
28,1,28,-,1,38,0.1,23,R-skew,5,0,1
63,0.4,1,Symm,3,44,0.6,10,R-skew,2,1,1
58,0.01,16,R-skew,3,30,0.05,15,Symm,7,0,1
-9,1,-9,-,1,-13,0.2,-19,-,1,0,0
84,0.4,-26,Symm,5,34,0.4,-1,-,1,0,0
32,0.25,12,-,1,92,0.4,-36,Symm,3,-1,0
41,0.2,10,-,1,10,0.4,8,-,1,0,1
58,0.25,-9,-,1,7,0.5,3,-,1,0,0
-8,0.8,-18,-,1,81,0.2,-26,Symm,3,0,1
3,1,3,-,1,-2,0.75,-10,-,1,0,0
197,0.2,-18,-,1,74,0.05,22,-,1,0,0
-6,0.99,-15,-,1,-6,1,-6,Symm,7,0,0
